Parte;CapituloNumero;ParteCapitulo;Capitulo;Total caracteres;Total palabras;Longitud media frases;Palabras lexicas;Palabras funcionales;Densidad lexica;Indice legilibilidad F.H.;"Frecuencia ""Quijote""";"Frecuencia ""Sancho""";GrupoQS0-QSN;Ranking-LongMediaFrases;Ranking-IndLeg;Qnn+Snn<=3
2;40;2-C40;2-C40-q05s14.txt;11088;2000;57,2;824;959;0,41;38,65;5;14;QnnSnn;52;65;
2;42;2-C42;2-C42-q03s22.txt;10349;1895;49,34;817;919;0,43;44,13;3;22;QnnSnn;97;30;
2;43;2-C43;2-C43-q11s32.txt;11515;2116;49,19;934;989;0,44;46,45;11;32;QnnSnn;99;20;
2;44;2-C44;2-C44-q26s22.txt;18154;3280;59,9;1373;1578;0,42;36,43;26;22;QnnSnn;36;80;
2;47;2-C47;2-C47-q02s33.txt;17276;3159;46,48;1351;1480;0,43;47,96;2;33;QnnSnn;113;11;
2;45;2-C45;2-C45-q00s21.txt;14135;2606;48,97;1120;1277;0,43;46,89;0;21;QnnSnn;102;15;
2;46;2-C46;2-C46-q23s03.txt;8169;1442;51,54;639;670;0,44;39,28;23;3;QnnSnn;84;62;
2;48;2-C48;2-C48-q25s01.txt;17191;3155;53,35;1408;1489;0,45;40,14;25;1;QnnSnn;71;56;
2;49;2-C49;2-C49-q00s23.txt;22418;4103;49,19;1825;1966;0,44;46,59;0;23;QnnSnn;99;18;
2;50;2-C50;2-C50-q13s20.txt;17903;3342;53,76;1402;1602;0,42;44,54;13;20;QnnSnn;67;28;
2;51;2-C51;2-C51-q07s20.txt;16890;3114;62,36;1328;1543;0,43;33,98;7;20;QnnSnn;24;91;
2;52;2-C52;2-C52-q15s10.txt;14130;2631;64,6;1134;1268;0,43;32,48;15;10;QnnSnn;16;101;
2;53;2-C53;2-C53-q01s14.txt;11609;2110;53,02;944;1015;0,45;41,69;1;14;QnnSnn;72;48;
2;54;2-C54;2-C54-q04s37.txt;15924;2883;58,68;1213;1383;0,42;36,68;4;37;QnnSnn;44;77;
2;55;2-C55;2-C55-q16s28.txt;14529;2664;57,34;1134;1260;0,43;37,15;16;28;QnnSnn;50;76;
2;56;2-C56;2-C56-q19s06.txt;10090;1831;59,58;779;876;0,43;33,27;19;6;QnnSnn;39;96;
2;57;2-C57;2-C57-q10s10.txt;7010;1206;39,12;508;550;0,42;51,16;10;10;QnnSnn;124;3;
2;58;2-C58;2-C58-q41s31.txt;23631;4187;56,12;1763;1972;0,42;35,67;41;31;QnnSnn;55;83;
2;59;2-C59;2-C59-q42s40.txt;15852;2837;45,16;1224;1266;0,43;45,92;42;40;QnnSnn;117;21;
2;60;2-C60;2-C60-q28s27.txt;25650;4576;59,09;1939;2161;0,42;32,9;28;27;QnnSnn;41;99;
2;61;2-C61;2-C61-q17s07.txt;5777;1002;50,56;431;468;0,43;37,93;17;7;QnnSnn;92;70;
2;62;2-C62;2-C62-q48s24.txt;24475;4413;42,5;1884;2060;0,43;49,16;48;24;QnnSnn;123;8;
2;63;2-C63;2-C63-q11s15.txt;19769;3568;44,75;1558;1712;0,44;46,82;11;15;QnnSnn;119;16;
2;64;2-C64;2-C64-q21s03.txt;8925;1636;55,17;657;786;0,4;37,33;21;3;QnnSnn;63;75;
2;65;2-C65;2-C65-q11s08.txt;10800;1976;49,76;812;927;0,41;43,34;11;8;QnnSnn;93;36;
2;67;2-C67;2-C67-q11s17.txt;9976;1766;54,54;754;808;0,43;39,51;11;17;QnnSnn;65;60;
2;66;2-C66;2-C66-q15s19.txt;10131;1842;55,57;803;842;0,44;40,57;15;19;QnnSnn;60;54;
2;68;2-C68;2-C68-q19s23.txt;10063;1816;46,49;773;871;0,43;46,63;19;23;QnnSnn;111;17;
2;69;2-C69;2-C69-q13s21.txt;10407;1860;55,05;804;875;0,43;39,98;13;21;QnnSnn;64;58;
2;70;2-C70;2-C70-q28s20.txt;14569;2622;47,52;1133;1222;0,43;43,85;28;20;QnnSnn;106;31;
2;72;2-C72;2-C72-q36s20.txt;9766;1784;52,79;725;822;0,41;42;36;20;QnnSnn;75;46;
2;73;2-C73;2-C73-q18s13.txt;9636;1733;49,57;719;808;0,41;43,83;18;13;QnnSnn;95;32;
2;71;2-C71;2-C71-q19s33.txt;11457;2087;51,8;888;970;0,43;42,97;19;33;QnnSnn;81;40;
2;74;2-C74;2-C74-q24s10.txt;13784;2450;51;1049;1131;0,43;40,19;24;10;QnnSnn;89;55;
